Maburaho,J.C.Staff,"Comedy,Drama,Romance,Ecchi,Harem,School",98000,6.74,https://cdn.myanimelist.net/images/anime/9/79204.jpg
Bobobo-bo Bo-bobo,Toei Animation,"Adventure,Comedy,Sci-Fi,Gag Humor,Shounen",95000,7.5,https://cdn.myanimelist.net/images/anime/1293/136965.jpg
Kaleido Star,Gonzo,"Comedy,Drama,Fantasy,Performing Arts",86000,7.95,https://cdn.myanimelist.net/images/anime/1230/98847.jpg
Crayon Shin-chan,Shin-Ei Animation,"Comedy,Ecchi,School,Seinen",84000,7.8,https://cdn.myanimelist.net/images/anime/10/59897.jpg
Mermaid Melody Pichi Pichi Pitch,"Actas,Synergy Japan,SynergySP","Adventure,Comedy,Fantasy,Romance,Mahou Shoujo,Music,Shoujo",82000,7.2,https://cdn.myanimelist.net/images/anime/3/9640.jpg
Sonic X,TMS Entertainment,"Action,Adventure,Comedy,Sci-Fi,Anthropomorphic,Kids",81000,6.6,https://cdn.myanimelist.net/images/anime/1801/121070.jpg
R.O.D: The TV,J.C.Staff,"Action,Adventure,Comedy,Drama,Sci-Fi,Super Power",70000,7.55,https://cdn.myanimelist.net/images/anime/3/73350.jpg
Doraemon (1979),Shin-Ei Animation,"Adventure,Comedy,Fantasy,Sci-Fi,Anthropomorphic,Kids,Shounen",64000,7.85,https://cdn.myanimelist.net/images/anime/3/3953.jpg
Tottoko Hamtarou,TMS Entertainment,"Adventure,Comedy,Anthropomorphic,Kids",61000,7.03,https://cdn.myanimelist.net/images/anime/3/21562.jpg
Peace Maker Kurogane,Gonzo,"Action,Comedy,Historical,Samurai,Shounen",58000,7.33,https://cdn.myanimelist.net/images/anime/10/77408.jpg
Gilgamesh,"Group TAC,Japan Vistec","Drama,Fantasy,Sci-Fi,Shounen",42000,6.72,https://cdn.myanimelist.net/images/anime/13/6640.jpg
Saiyuuki Reload,Pierrot,"Action,Adventure,Comedy,Drama,Supernatural,Mythology,Josei",36000,7.37,https://cdn.myanimelist.net/images/anime/13/24719.jpg
Tantei Gakuen Q,Pierrot,"Comedy,Drama,Mystery,Detective,Shounen",36000,7.78,https://cdn.myanimelist.net/images/anime/1/407.jpg
Pokemon Side Stories,OLM,"Adventure,Comedy,Fantasy,Kids",33000,6.89,https://cdn.myanimelist.net/images/anime/1231/141945.jpg
Mujin Wakusei Survive,"Madhouse,Telecom Animation Film","Action,Adventure,Fantasy,Sci-Fi,Slice of Life",30000,7.78,https://cdn.myanimelist.net/images/anime/3/46859.jpg
